date,(UTC),Price
01/28/2017,15:50,86
01/28/2017,16:50,58
01/28/2017,17:50,48
01/28/2017,18:50,50
01/28/2017,19:50,39
01/28/2017,21:45,7
01/28/2017,15:45,41
01/28/2017,16:50,38
01/28/2017,17:50,32
01/28/2017,18:50,31
01/28/2017,19:50,25
01/28/2017,20:45,9
01/29/2017,10:25,32
01/29/2017,11:30,3
01/29/2017,12:30,0
01/29/2017,9:25,41
01/29/2017,10:25,79
01/29/2017,11:25,4
01/29/2017,9:25,51
01/30/2017,10:25,33
01/30/2017,11:30,57
01/30/2017,12:30,47
01/30/2017,13:35,61
01/30/2017,14:35,63
01/30/2017,15:50,71
01/30/2017,16:50,0
01/30/2017,17:50,23
01/30/2017,18:50,0
01/30/2017,19:50,0
01/30/2017,6:20,54
01/30/2017,7:20,81
01/30/2017,8:20,30
01/30/2017,9:25,52
01/30/2017,10:25,81
01/30/2017,11:25,41
01/30/2017,12:35,88
01/30/2017,13:35,53
01/30/2017,14:45,62
01/30/2017,15:45,46
01/30/2017,16:50,3
01/30/2017,17:50,5
01/30/2017,18:50,0
01/30/2017,19:50,0
01/30/2017,6:20,82
01/30/2017,7:20,41
01/30/2017,8:25,100
01/30/2017,9:25,73
02/05/2017,13:35,40
02/05/2017,14:35,36
02/05/2017,15:50,47
02/05/2017,16:50,34
02/05/2017,17:50,36
02/05/2017,18:50,25
02/05/2017,19:50,25
02/05/2017,21:45,25
02/05/2017,13:35,47
02/05/2017,14:45,61
02/05/2017,15:45,32
02/05/2017,16:50,31
02/05/2017,17:50,38
02/05/2017,18:50,49
02/05/2017,19:50,25
02/05/2017,20:45,16
02/06/2017,8:20,27
02/06/2017,9:25,25
02/06/2017,10:25,22
02/06/2017,11:30,34
02/06/2017,12:30,36
02/06/2017,13:35,51
02/06/2017,14:35,40
02/06/2017,15:50,60
02/06/2017,16:50,40
02/06/2017,17:50,30
02/06/2017,18:50,21
02/06/2017,19:50,15
02/06/2017,21:45,19
02/06/2017,8:25,61
02/06/2017,9:25,42
02/06/2017,10:25,48
02/06/2017,11:25,31
02/06/2017,12:35,61
02/06/2017,13:35,36
02/06/2017,14:45,39
02/06/2017,15:45,3
02/06/2017,16:50,21
02/06/2017,17:50,20
02/06/2017,18:50,26
02/06/2017,19:50,15
02/06/2017,20:45,8
02/07/2017,6:20,28
02/07/2017,7:20,42
02/07/2017,8:20,11
02/07/2017,9:25,21
02/07/2017,10:25,25
02/07/2017,11:30,45
02/07/2017,12:30,30
02/07/2017,13:35,36
02/07/2017,14:35,51
02/07/2017,15:50,65
02/07/2017,16:50,52
02/07/2017,17:50,40
02/07/2017,18:50,31
02/07/2017,19:50,31
02/07/2017,21:45,20
02/07/2017,6:20,61
02/07/2017,7:20,26
02/07/2017,8:25,69
02/07/2017,9:25,35
02/07/2017,10:25,56
02/07/2017,11:25,33
02/07/2017,12:35,56
02/07/2017,13:35,41
02/07/2017,14:45,32
02/07/2017,15:45,43
02/07/2017,16:50,28
02/07/2017,17:50,9
02/07/2017,18:50,25
02/07/2017,19:50,8
02/07/2017,20:45,10
02/08/2017,6:20,33
02/08/2017,7:20,50
02/08/2017,8:20,21
02/08/2017,9:25,28
02/08/2017,10:25,28
02/08/2017,11:30,35
02/08/2017,12:30,35
02/08/2017,13:35,66
02/08/2017,14:35,68
02/08/2017,15:50,81
02/08/2017,16:50,40
02/08/2017,17:50,31
02/08/2017,18:50,13
02/08/2017,19:50,22
02/08/2017,21:45,13
02/08/2017,6:20,51
02/08/2017,7:20,27
02/08/2017,8:25,73
02/08/2017,9:25,40
02/08/2017,10:25,55
02/08/2017,11:25,40
02/08/2017,12:35,57
02/08/2017,13:35,39
02/08/2017,14:45,33
02/08/2017,15:45,29
02/08/2017,16:50,18
02/08/2017,17:50,23
02/08/2017,18:50,18
02/08/2017,19:50,15
02/08/2017,20:45,5
02/09/2017,6:20,29
02/09/2017,7:20,51
02/09/2017,8:20,30
02/09/2017,9:25,27
02/09/2017,10:25,18
02/09/2017,11:30,40
02/09/2017,12:30,30
02/09/2017,13:35,50
02/09/2017,14:35,51
02/09/2017,15:50,60
02/09/2017,16:50,52
02/09/2017,17:50,51
02/09/2017,18:50,45
02/09/2017,19:50,37
02/09/2017,21:45,21
02/09/2017,6:20,27
02/09/2017,7:20,22
02/09/2017,8:25,40
02/09/2017,9:25,28
02/09/2017,10:25,42
02/09/2017,11:25,51
02/09/2017,12:35,75
02/09/2017,13:35,35
02/09/2017,14:45,47
02/09/2017,15:45,35
02/09/2017,16:50,37
02/09/2017,17:50,27
02/09/2017,18:50,26
02/09/2017,19:50,6
02/09/2017,20:45,8
02/10/2017,6:20,40
02/10/2017,7:20,50
02/10/2017,8:20,47
02/10/2017,9:25,56
02/10/2017,10:25,63
02/10/2017,11:30,66
02/10/2017,12:30,75
02/10/2017,13:35,96
02/10/2017,14:35,98
02/10/2017,15:50,100
02/10/2017,16:50,100
02/10/2017,17:50,100
02/10/2017,18:50,100
02/10/2017,19:50,100
02/10/2017,21:45,73
02/10/2017,6:20,53
02/10/2017,7:20,31
02/10/2017,8:25,70
02/10/2017,9:25,57
02/10/2017,10:25,78
02/10/2017,11:25,53
02/10/2017,12:35,96
02/10/2017,13:35,61
02/10/2017,14:45,46
02/10/2017,15:45,45
02/10/2017,16:50,62
02/10/2017,17:50,32
02/10/2017,18:50,27
02/10/2017,19:50,21
02/10/2017,20:45,11
02/11/2017,6:20,22
02/11/2017,7:20,43
02/11/2017,8:20,60
02/11/2017,9:25,100
02/11/2017,10:25,100
02/11/2017,11:30,100
02/11/2017,12:30,83
02/11/2017,13:35,70
02/11/2017,14:35,65
02/11/2017,15:50,81
02/11/2017,16:50,61
